n_processos,array_size,custom,iteration,time
16,16384,true,2,0.000650
16,16384,true,3,0.000643
16,16384,true,4,0.000722
16,16384,true,5,0.000662
16,16384,true,6,0.000677
16,16384,true,7,0.000679
16,16384,true,8,0.000659
16,16384,true,9,0.000603
16,16384,true,10,0.000614
16,16384,true,11,0.000628
16,16384,true,12,0.000711
16,16384,true,13,0.000673
16,16384,true,14,0.000629
16,16384,true,15,0.000630
16,16384,true,16,0.000672
16,16384,true,17,0.000620
16,16384,true,18,0.000658
16,16384,true,19,0.000609
16,16384,true,20,0.000668
16,16384,true,21,0.000654
16,16384,true,22,0.000669
16,16384,true,23,0.000696
16,16384,true,24,0.001154
16,16384,true,25,0.000691
16,16384,true,26,0.000613
16,16384,true,27,0.000640
16,16384,true,28,0.000692
16,16384,true,29,0.000611
16,16384,true,30,0.000637
32,16384,true,1,0.001742
32,16384,true,2,0.001766
32,16384,true,3,0.001893
32,16384,true,4,0.002037
32,16384,true,5,0.001855
32,16384,true,6,0.001683
32,16384,true,7,0.002047
32,16384,true,8,0.001874
32,16384,true,9,0.001790
32,16384,true,10,0.001771
32,16384,true,11,0.001598
32,16384,true,12,0.002836
32,16384,true,13,0.001758
32,16384,true,14,0.001667
32,16384,true,15,0.001888
32,16384,true,16,0.001844
32,16384,true,17,0.001835
32,16384,true,18,0.001786
32,16384,true,19,0.001793
32,16384,true,20,0.001706
32,16384,true,21,0.001618
32,16384,true,22,0.001777
32,16384,true,23,0.001821
32,16384,true,24,0.001712
32,16384,true,25,0.001706
32,16384,true,26,0.002027
32,16384,true,27,0.001604
32,16384,true,28,0.001836
32,16384,true,29,0.001833
32,16384,true,30,0.001672
1,32768,true,1,0.000000
1,32768,true,2,0.000000
1,32768,true,3,0.000000
1,32768,true,4,0.000000
1,32768,true,5,0.000000
1,32768,true,6,0.000000
1,32768,true,7,0.000000
1,32768,true,8,0.000000
1,32768,true,9,0.000000
1,32768,true,10,0.000000
1,32768,true,11,0.000000
1,32768,true,12,0.000000
1,32768,true,13,0.000000
1,32768,true,14,0.000000
1,32768,true,15,0.000000
1,32768,true,16,0.000000
1,32768,true,17,0.000000
1,32768,true,18,0.000000
1,32768,true,19,0.000000
1,32768,true,20,0.000000
1,32768,true,21,0.000000
1,32768,true,22,0.000000
1,32768,true,23,0.000000
1,32768,true,24,0.000000
1,32768,true,25,0.000000
1,32768,true,26,0.000003
1,32768,true,27,0.000000
1,32768,true,28,0.000000
1,32768,true,29,0.000003
1,32768,true,30,0.000000
2,32768,true,1,0.000072
2,32768,true,2,0.000078
2,32768,true,3,0.000063
2,32768,true,4,0.000058
2,32768,true,5,0.000061
2,32768,true,6,0.000059
2,32768,true,7,0.000061
2,32768,true,8,0.000064
2,32768,true,9,0.000066
2,32768,true,10,0.000064
2,32768,true,11,0.000061
2,32768,true,12,0.000065
2,32768,true,13,0.000063
2,32768,true,14,0.000062
2,32768,true,15,0.000061
2,32768,true,16,0.000061
2,32768,true,17,0.000061
2,32768,true,18,0.000061
2,32768,true,19,0.000062
2,32768,true,20,0.000064
2,32768,true,21,0.000061
2,32768,true,22,0.000062
2,32768,true,23,0.000062
2,32768,true,24,0.000061
2,32768,true,25,0.000063
2,32768,true,26,0.000059
2,32768,true,27,0.000063
2,32768,true,28,0.000063
2,32768,true,29,0.000064
2,32768,true,30,0.000060
4,32768,true,1,0.000132
4,32768,true,2,0.000153
4,32768,true,3,0.000134
4,32768,true,4,0.000138
4,32768,true,5,0.000169
4,32768,true,6,0.000141
4,32768,true,7,0.000168
4,32768,true,8,0.000157
4,32768,true,9,0.000134
4,32768,true,10,0.000134
4,32768,true,11,0.000140
4,32768,true,12,0.000152
4,32768,true,13,0.000159
4,32768,true,14,0.000146
4,32768,true,15,0.000170
4,32768,true,16,0.000146
4,32768,true,17,0.000139
4,32768,true,18,0.000139
4,32768,true,19,0.000135
4,32768,true,20,0.000160
4,32768,true,21,0.000158
4,32768,true,22,0.000141
4,32768,true,23,0.000159
4,32768,true,24,0.000163
4,32768,true,25,0.000155
4,32768,true,26,0.000140
4,32768,true,27,0.000137
4,32768,true,28,0.000159
4,32768,true,29,0.000140
4,32768,true,30,0.000143
8,32768,true,1,0.000369
8,32768,true,2,0.000389
