impl,num_threads,i,grid_size,time
omp,8,11,32,0.000338
omp,8,11,4096,3.378080
omp,8,11,512,0.053882
omp,8,11,64,0.000972
omp,8,11,8,0.000166
omp,8,12,1024,0.209326
omp,8,12,128,0.003351
omp,8,12,2048,0.834937
omp,8,12,256,0.013272
omp,8,12,32,0.000348
omp,8,12,4096,3.362751
omp,8,12,512,0.053777
omp,8,12,64,0.000932
omp,8,12,8,0.000183
omp,8,13,1024,0.211617
omp,8,13,128,0.003374
omp,8,13,2048,0.871245
omp,8,13,256,0.012990
omp,8,13,32,0.000347
omp,8,13,4096,3.427871
omp,8,13,512,0.051879
omp,8,13,64,0.000965
omp,8,13,8,0.000170
omp,8,14,1024,0.210990
omp,8,14,128,0.003324
omp,8,14,2048,0.849322
omp,8,14,256,0.013741
omp,8,14,32,0.000361
omp,8,14,4096,3.395725
omp,8,14,512,0.053048
omp,8,14,64,0.000961
omp,8,14,8,0.000182
omp,8,15,1024,0.211389
omp,8,15,128,0.003406
omp,8,15,2048,0.849829
omp,8,15,256,0.013349
omp,8,15,32,0.000345
omp,8,15,4096,3.419508
omp,8,15,512,0.051773
omp,8,15,64,0.000946
omp,8,15,8,0.000173
omp,8,16,1024,0.211641
omp,8,16,128,0.003543
omp,8,16,2048,0.850586
omp,8,16,256,0.013036
omp,8,16,32,0.000353
omp,8,16,4096,3.333288
omp,8,16,512,0.051956
omp,8,16,64,0.000963
omp,8,16,8,0.000187
omp,8,17,1024,0.210201
omp,8,17,128,0.003383
omp,8,17,2048,0.877986
omp,8,17,256,0.013139
omp,8,17,32,0.000364
omp,8,17,4096,3.374536
omp,8,17,512,0.051772
omp,8,17,64,0.000940
omp,8,17,8,0.000183
omp,8,18,1024,0.210702
omp,8,18,128,0.003364
omp,8,18,2048,0.859290
omp,8,18,256,0.013329
omp,8,18,32,0.000357
omp,8,18,4096,3.584032
